episode,timestep,reward
46,800,10.0212
90,1600,10.5344
125,2400,14.8993
158,3200,15.6506
183,4000,20.1677
208,4800,22.8658
225,5600,39.5632
246,6400,23.2657
262,7200,38.5727
279,8000,33.5364
287,8800,71.1679
297,9600,54.6671
307,10400,50.4696
314,11200,69.8247
320,12000,75.2103
324,12800,109.6947
328,13600,121.8028
333,14400,80.1447
336,15200,149.3275
340,16000,111.2676
343,16800,115.5295
347,17600,127.3405
349,18400,137.9937
352,19200,196.2707
354,20000,146.8584
357,20800,173.8521
360,21600,140.8043
362,22400,188.3554
365,23200,139.3551
368,24000,142.8595
371,24800,155.9373
373,25600,200.5
375,26400,175.3191
377,27200,193.6308
380,28000,199.3842
383,28800,151.9561
385,29600,155.4637
388,30400,145.9486
391,31200,155.7381
393,32000,175.8073
395,32800,200.5
397,33600,200.5
399,34400,200.5
401,35200,200.5
403,36000,200.5
406,36800,179.9199
408,37600,200.5
410,38400,174.6333
412,39200,200.5
414,40000,200.5
416,40800,200.5
418,41600,200.5
420,42400,182.7384
422,43200,195.5194
424,44000,200.5
426,44800,200.5
429,45600,163.6546
431,46400,200.5
433,47200,200.5
435,48000,200.5
438,48800,170.0163
440,49600,179.1539
442,50400,200.5
444,51200,187.4211
446,52000,200.5
448,52800,200.1352
451,53600,190.9762
453,54400,171.2982
455,55200,200.5
457,56000,200.5
460,56800,173.9662
463,57600,144.7252
465,58400,200.5
467,59200,162.1652
469,60000,190.9161
471,60800,200.5
473,61600,198.9186
475,62400,200.5
478,63200,161.8085
480,64000,200.5
483,64800,166.7794
485,65600,200.5
487,66400,200.5
490,67200,170.599
492,68000,200.5
494,68800,200.5
496,69600,200.5
498,70400,200.5
500,71200,161.3642
502,72000,200.5
504,72800,196.6758
506,73600,200.5
509,74400,181.6333
511,75200,200.5
513,76000,200.5
515,76800,200.5
517,77600,200.5
519,78400,200.5
521,79200,200.5
523,80000,200.5
525,80800,200.5
527,81600,200.5
529,82400,164.8436
531,83200,200.5
533,84000,200.5
535,84800,200.5
538,85600,157.9248
541,86400,192.5807
543,87200,195.1352
545,88000,200.5
547,88800,199.1564
550,89600,193.0013
552,90400,200.5
554,91200,200.5
556,92000,200.5
558,92800,200.5
560,93600,200.5
562,94400,200.5
564,95200,167.1076
566,96000,200.5
569,96800,173.1364
571,97600,200.5
573,98400,200.5
575,99200,187.4268
577,100000,200.5
